,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0,0,0,0,0,3,16,4,24,25,12
1,0,0,0,0,0,0,0,0,3,16,24,33,25,12
2,0,0,0,0,0,0,0,0,0,0,0,0,0,34
3,0,0,0,0,0,0,0,0,3,16,34,22,24,25
4,0,0,0,0,0,0,0,3,16,34,24,25,33,12
5,0,0,0,0,0,0,0,0,3,16,34,24,25,12
6,0,0,0,0,0,0,0,0,0,0,0,0,34,22
7,0,0,0,0,0,0,0,0,0,0,34,22,24,25
8,0,0,0,0,0,0,0,0,0,4,24,25,33,12
9,0,0,0,0,0,0,0,0,0,34,22,24,25,33
10,0,0,0,0,0,0,0,0,34,4,22,24,33,25
11,0,0,0,0,0,0,0,0,0,0,0,4,22,12
12,0,0,0,0,0,0,0,0,0,0,3,16,24,25
13,0,0,0,0,0,0,0,0,0,0,0,24,25,33
14,0,0,0,0,0,0,0,0,0,0,0,0,0,22
15,0,0,0,0,0,0,0,3,16,34,4,24,33,25
16,0,0,0,0,0,0,0,0,34,4,24,25,33,12
17,0,0,0,0,0,0,0,0,0,3,16,24,25,33
18,0,0,0,0,0,0,0,0,0,34,24,33,25,12
19,0,0,0,0,0,0,0,0,0,0,34,4,22,12
20,0,0,0,0,0,0,0,0,3,16,22,24,33,25
21,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,0,0,0,0,0,0,3,16,34,4,22,24,33,25
23,0,0,0,0,0,0,0,0,0,0,0,4,24,25
24,0,0,0,0,0,0,0,0,3,16,34,24,33,25
25,0,0,0,0,0,0,0,0,0,22,24,33,25,12
26,0,0,0,0,0,0,0,0,0,0,0,34,22,12
27,0,0,0,0,0,0,0,0,34,22,24,25,33,12
28,0,0,0,0,0,0,0,0,0,4,22,24,25,33
29,0,0,0,0,0,0,0,0,0,0,0,0,24,25
30,0,0,0,0,0,0,0,0,0,3,16,34,22,12
31,0,0,0,0,0,0,0,0,3,16,22,24,25,33
32,0,0,0,0,0,0,0,0,0,34,22,24,25,12
33,0,0,0,0,0,0,0,0,0,0,0,3,16,12
34,0,0,0,0,0,0,0,0,4,22,24,25,33,12
35,0,0,0,0,0,0,0,0,34,4,22,24,25,12
36,0,0,0,0,0,3,16,34,4,22,24,25,33,12
37,0,0,0,0,0,0,0,3,16,34,22,24,25,12
38,0,0,0,0,0,0,0,0,0,0,0,34,24,25
39,0,0,0,0,0,0,0,0,0,4,24,33,25,12
40,0,0,0,0,0,0,0,0,34,4,22,24,25,33
41,0,0,0,0,0,0,0,0,0,0,3,16,4,12
42,0,0,0,0,0,0,0,0,0,0,0,0,34,12
43,0,0,0,0,0,0,3,16,34,4,24,33,25,12
44,0,0,0,0,0,0,0,0,0,0,0,24,25,12
45,0,0,0,0,0,0,0,0,0,34,4,24,25,12
46,0,0,0,0,0,0,0,0,0,0,22,24,33,25
47,0,0,0,0,0,0,0,0,0,34,4,24,25,33
48,0,0,0,0,0,0,0,0,3,16,4,24,33,25
49,0,0,0,0,0,0,0,0,0,0,0,3,16,34
50,0,0,0,0,0,0,0,0,0,0,34,24,25,12
51,0,0,0,0,0,0,0,0,0,3,16,24,33,25
52,0,0,0,0,0,0,0,0,0,0,22,24,25,12
53,0,0,0,0,0,0,0,0,3,16,4,24,25,33
54,0,0,0,0,0,0,0,0,0,4,22,24,33,25
55,0,0,0,0,0,0,0,0,0,0,34,24,25,33
56,0,0,0,0,0,0,0,3,16,22,24,33,25,12
57,0,0,0,0,0,0,0,3,16,34,22,24,25,33
58,0,0,0,0,0,0,3,16,34,22,24,33,25,12
59,0,0,0,0,0,0,0,3,16,34,4,24,25,12
60,0,0,0,0,0,0,0,0,34,22,24,33,25,12
61,0,0,0,0,0,0,0,34,4,22,24,33,25,12
62,0,0,0,0,0,0,0,0,0,0,3,16,22,12
63,0,0,0,0,0,0,3,16,34,4,22,24,25,33
64,0,0,0,0,0,0,0,0,0,0,0,24,33,25
65,0,0,0,0,0,0,0,3,16,34,24,33,25,12
66,0,0,0,0,0,0,0,0,0,0,4,24,25,12
67,0,0,0,0,0,0,0,0,0,0,4,24,25,33
68,0,0,0,0,0,0,0,0,0,0,0,0,34,4
69,0,0,0,0,0,0,0,0,4,22,24,33,25,12
70,0,0,0,0,0,0,0,3,16,22,24,25,33,12
71,0,0,0,0,0,0,0,0,0,34,24,25,33,12
72,0,0,0,0,0,0,3,16,34,4,24,25,33,12
73,0,0,0,0,0,0,0,34,4,22,24,25,33,12
74,0,0,0,0,0,0,0,3,16,4,22,24,25,33
75,0,0,0,0,0,0,0,0,0,34,4,22,24,25
76,0,0,0,0,0,0,3,16,4,22,24,33,25,12
77,0,0,0,0,0,0,0,0,0,0,24,33,25,12
78,0,0,0,0,0,0,0,0,34,4,24,33,25,12
79,0,0,0,0,0,0,0,0,0,34,4,24,33,25
80,0,0,0,0,0,0,0,0,0,0,0,0,3,16
81,0,0,0,0,0,0,0,0,3,16,34,24,25,33
82,0,0,0,0,0,0,0,0,3,16,34,4,22,12
83,0,0,0,0,0,0,0,0,0,0,34,4,24,25
84,0,0,0,0,0,0,0,3,16,34,4,24,25,33
85,0,0,0,0,0,0,0,3,16,4,22,24,33,25
86,0,0,0,0,0,0,3,16,34,22,24,25,33,12
87,0,0,0,0,0,0,0,0,3,16,22,24,25,12
88,0,0,0,0,0,0,0,0,0,0,0,0,4,12
89,0,0,0,0,0,0,0,0,0,0,0,0,4,22
90,0,0,0,0,0,0,0,0,0,0,34,24,33,25
91,0,0,0,0,0,3,16,34,4,22,24,33,25,12
92,0,0,0,0,0,0,0,0,0,0,0,34,4,12
93,0,0,0,0,0,0,0,0,3,16,24,25,33,12
94,0,0,0,0,0,0,0,3,16,4,24,25,33,12
95,0,0,0,0,0,0,0,0,3,16,34,4,24,25
96,0,0,0,0,0,0,0,0,0,0,3,16,34,4
97,0,0,0,0,0,0,0,0,0,3,16,22,24,25
98,0,0,0,0,0,0,0,3,16,34,4,22,24,25
99,0,0,0,0,0,0,0,0,0,3,16,34,4,22
100,0,0,0,0,0,0,0,0,0,17,1,9,2,8
101,0,0,0,0,0,0,0,0,0,0,0,0,17,9
102,0,0,0,0,0,0,0,0,0,17,42,36,9,2
103,0,0,0,0,0,0,0,0,0,0,17,39,36,9
104,0,0,0,0,0,0,0,0,0,17,39,36,2,8
105,0,0,0,0,0,0,0,0,17,39,1,36,9,2
106,0,0,0,0,0,0,0,0,0,0,0,36,17,2
107,0,0,0,0,0,0,0,0,17,39,1,36,2,8
108,0,0,0,0,0,0,0,0,0,0,0,9,17,8
109,0,0,0,0,0,0,0,0,0,0,17,36,9,2
110,0,0,0,0,0,0,0,0,17,1,42,36,2,8
111,0,0,0,0,0,0,0,0,0,17,39,36,9,2
112,0,0,0,0,0,0,0,0,0,0,17,1,36,2
113,0,0,0,0,0,0,0,0,17,39,42,36,9,8
114,0,0,0,0,0,0,0,0,0,0,17,1,42,2
115,0,0,0,0,0,0,0,0,0,0,17,39,42,2
116,0,0,0,0,0,0,0,0,0,0,17,39,1,42
117,0,0,0,0,0,0,0,17,39,1,36,9,2,8
118,0,0,0,0,0,0,0,0,17,39,1,42,36,2
119,0,0,0,0,0,0,0,0,17,39,1,9,2,8
120,0,0,0,0,0,0,0,0,0,0,17,39,1,36
121,0,0,0,0,0,0,0,0,0,0,0,17,1,9
122,0,0,0,0,0,0,0,0,0,0,0,17,36,9
123,0,0,0,0,0,0,0,0,0,0,0,0,17,1
124,0,0,0,0,0,0,0,0,0,17,1,42,36,2
125,0,0,0,0,0,0,0,0,0,17,42,9,2,8
126,0,0,0,0,0,0,0,0,17,39,1,42,2,8
127,0,0,0,0,0,0,0,17,39,1,42,36,2,8
128,0,0,0,0,0,0,0,0,0,0,17,9,2,8
129,0,0,0,0,0,0,0,0,0,17,39,42,2,8
130,0,0,0,0,0,0,0,0,17,1,42,9,2,8
131,0,0,0,0,0,0,0,0,0,0,17,42,36,8
132,0,0,0,0,0,0,0,0,0,17,1,42,2,8
133,0,0,0,0,0,0,0,17,39,1,42,36,9,8
134,0,0,0,0,0,0,0,0,0,17,1,36,9,8
135,0,0,0,0,0,0,0,0,0,17,39,42,9,8
136,0,0,0,0,0,0,0,0,0,0,0,17,1,36
137,0,0,0,0,0,0,0,0,0,0,17,39,9,2
138,0,0,0,0,0,0,0,0,17,39,42,36,2,8
139,0,0,0,0,0,0,0,0,17,39,1,36,9,8
140,0,0,0,0,0,0,0,0,17,39,42,9,2,8
141,0,0,0,0,0,0,0,0,0,0,0,17,39,36
142,0,0,0,0,0,0,0,0,0,36,9,17,2,8
143,0,0,0,0,0,0,0,0,0,0,0,17,39,2
144,0,0,0,0,0,0,0,0,0,17,1,42,9,8
